Rank on Chart,album,artist,peakRank,weeksOnChart,No. 1 Hits,Top 10 Hits
1,"

So Much Fun

","

Young Thug

",1,1,1,5
2,"

Hello From Las Vegas

","

Lionel Richie

",2,1,3,6
3,"

Quality Control: Control The Streets, Volume 2

","

Various Artists

",3,1,3,6
4,"

When We All Fall Asleep, Where Do We Go?

","

Billie Eilish

",1,21,1,1
5,"

No.6 Collaborations Project

","

Ed Sheeran

",1,6,3,4
6,"

Cuz I Love You

","

Lizzo

",6,18,1,2
7,"

Indigo

","

Chris Brown

",1,8,3,10
8,"

Port of Miami 2

","

Rick Ross

",2,2,5,10
9,"

Free Spirit

","

Khalid

",1,20,1,3
10,"

Shawn Mendes

","

Shawn Mendes

",1,65,3,4
11,"

7 (EP)

","
Lil Nas X
",2,9,3,4
12,"

We Are Not Your Kind

","

Slipknot

",1,2,3,5
13,"

Atonement

","

Killswitch Engage

",13,1,3,6
14,"

Ascend

","

Illenium

",14,1,N/A,N/A
15,"

Dreamville & J. Cole: Revenge Of The Dreamers III

","

Various Artists

",1,7,N/A,N/A
16,"

The Search

","

NF

",1,4,2,2
17,"

Greatest Hits

","

Queen

",11,348,1,8
18,"

beerbongs & bentleys

","

Post Malone

",1,69,1,2
19,"

This One's For You

","

Luke Combs

",4,116,2,3
20,"

Care Package

","

Drake

",1,3,9,11
21,"

Baby On Baby

","

DaBaby

",7,25,1,1
22,"

Happiness Begins

","

Jonas Brothers

",1,11,3,6
23,"

Scorpion

","

Drake

",1,60,9,11
24,"

Descendants 3

","

Soundtrack

",7,3,9,11
25,"

Thank U, Next

","

Ariana Grande

",1,28,4,5
26,"

The Big Day

","

Chance The Rapper

",2,4,3,4
27,"

The Center Won't Hold

","

Sleater-Kinney

",27,1,N/A,N/A
28,"

Dont Smile At Me

","

Billie Eilish

",14,87,1,1
29,"

Perfect Ten

","
Mustard
",8,8,1,1
30,"

Spider-Man: Into The Spider-Verse

","

Soundtrack

",2,36,1,1
31,"

!

","

Trippie Redd

",3,2,N/A,N/A
32,"

Love Songs 4 The Streets 2

","

Lil Durk

",4,3,1,6
33,"

ASTROWORLD

","

Travis Scott

",1,55,2,3
34,"

Die A Legend

","
Polo G
",6,11,2,3
35,"

Diamonds

","

Elton John

",7,93,7,20
36,"

Dan + Shay

","

Dan + Shay

",6,61,3,3
37,"

Divinely Uninspired To A Hellish Extent

","

Lewis Capaldi

",36,14,N/A,N/A
38,"

Stoney

","

Post Malone

",4,141,1,2
39,"

Hoodie SZN

","

A Boogie Wit da Hoodie

",1,35,1,2
40,"

Championships

","

Meek Mill

",1,38,2,6
41,"

Soul Searching

","
Bazzi
",20,2,2,6
42,"

Goodbye & Good Riddance

","
Juice WRLD
",4,66,2,6
43,"

American Teen

","

Khalid

",4,129,1,3
44,"

Hamilton: An American Musical

","

Original Broadway Cast Recording

",3,204,3,58
45,"

Invasion Of Privacy

","

Cardi B

",1,72,1,1
46,"

÷ (Divide)

","

Ed Sheeran

",1,129,3,4
47,"

Death Race For Love

","
Juice WRLD
",1,24,3,4
48,"

A Star Is Born (Soundtrack)

","
Lady Gaga & Bradley Cooper
",1,46,3,4
49,"

If I Know Me
 
","

Morgan Wallen

",35,47,N/A,N/A
50,"

Floor Seats

","

A$AP Ferg

",50,1,2,4
51,"

The Greatest Showman

","

Soundtrack

",1,89,2,4
52,"

Look Up Child

","

Lauren Daigle

",3,50,1,3
53,"

Fever

","
Megan Thee Stallion
",10,14,1,3
54,"

Chronicle The 20 Greatest Hits

","
Creedence Clearwater Revival Featuring John Fogerty
",22,433,1,3
55,"

F.N

","
Lil Tjay
",38,2,1,3
56,"

?

","

XXXTENTACION

",1,75,2,3
